Question,Answer
Which newspaper broke the story about Schwarzenegger's alleged sexual misconduct?,Los Angeles Times
One woman accused Schwarzenegger of trying to remove what item of clothing?,bathing suit
"What magazine published an interview quoting Schwarzenegger calling marijuana a ""leaf""?",GQ
What drug does the documentary Pumping Iron show Schwarzenegger using?,marijuana
"Who sued Schwarzenegger and two of his employees for libel, settling in 2006?",Anna Richardson
What movie was Schwarzenegger promoting when the alleged incident took place?,The 6th Day
What paper did Richardson claim was used by Schwarzenegger's publicist and aide to discredit her?,Los Angeles Times
What year did Austria outlaw the death penalty?,1968
Which member of Austrian parliament wanted Schwarzenegger to lose his Austrian citizenship?,Peter Pilz
What date marked the first law restricting greenhouse gas emissions?,"September 27, 2006"
"The regulations pertain to emissions from utilities, manufacturing plants, and what other entity?",refineries
What year has Schwarzenegger set as the deadline for California to show a 25% reduction in emissions?,2020
What region of the U.S. has California partnered with on the Regional Greenhouse Gas Initiative?,the Northeast
What green technology did Schwarzenegger have installed at home to reduce his carbon footprint? ,solar panels
What year did the Greenhouse Gas Initiative go into effect?,2009
What particular pollutant was Schwarzenegger addressing with his 2006 executive order?,carbon dioxide emissions
In what city was the SAE World Congress held in 2009?,Detroit
"What article, section, and clause of the Constitution requires U.S. presidents to be natural-born citizens?","Article II, Section I, Clause V"
"In 2013, what newspaper claimed Schwarzenegger was considering a presidential campaign?",the New York Post
Michael Dorf is a law professor at what school?,Columbia University
Where would Schwarzenegger write down his goals?,index cards
Schwarzenegger became a millionaire by what age?,30
With which of his friends did Schwarzenegger start a bricklaying company?,Franco Columbu
What natural disaster in 1971 contributed to the success of Schwarzenegger's business?,San Fernando earthquake
How much did Schwarzenegger pay for the first apartment building he bought?,"$10,000"
What restaurant chain did Schwarzenegger invest in?,Planet Hollywood
When did Schwarzenegger withdraw from involvement with Planet Hollywood?,2000
What other successful theme restaurant chain was Planet Hollywood modeled on?,the Hard Rock Cafe
What investment firm does Schwarzenegger maintain partial ownership of?,Dimensional Fund Advisors
What city hosts Arnold's Sports Festival each year?,"Columbus, Ohio"
What's the name of Schwarzenegger's film production company?,"Oak Productions, Inc."
What renowned publishing company partners with Schwarzenegger in Fitness Publications?,Simon & Schuster
What's the name of the restaurant Schwarzenegger opened with his wife?,Schatzi On Main
Where is the Schwarzenegger restaurant located?,Santa Monica
"What is the literal translation of the word ""schatzi""?",little treasure
What year did Schwarzenegger sell Schatzi on Main?,1998
In what year did Schwarzenegger and Maria Shriver separate?,2011
What was the price tag for the private jet Schwarzenegger bought in 1997?,$38 million
In what year did Schwarzenegger's former girlfriend Barbara Outland Baker publish her memoir?,2006
What did Baker say Schwarzenegger didn't understand when she first met him?,polite society
What historical event did Baker and Schwarzenegger watch on TV together on their first date?,the first Apollo Moon landing
What was the name of the hairdresser's assistant Schwarzenegger fell for in July of 1977?,Sue Moray
Where did Schwarzenegger first meet Maria Shriver?,the Robert F. Kennedy Tennis Tournament
What month and year did Moray make Schwarzenegger choose between her and Shriver?,Aug-78
What is Maria Shriver's relation to President John F. Kennedy,niece
What Massachusetts town was the setting for the wedding between Shriver and Schwarzenegger?,Hyannis
How many children did Schwarzenegger and Shriver have together?,four
Who did Schwarzenegger reportedly begin dating shortly after his separation?,Heather Milligan
How long were Schwarzenegger and Shriver married?,25 years
What newspaper broke the story about Schwarzenegger's child with another woman?,the Los Angeles Times
Baena worked for the Schwarzenegger/Shriver family for how many years?,20
What's the first name of Schwarzenegger's son with Baena?,Joseph
Schwarzenegger bought Baena and their son a four-bedroom house in what year?,2010
Which attorney did Schwarzenegger consult to handle his divorce?,Bob Kaufman
Which of the two kept their family home in Brentwood?,Schwarzenegger
Schwarzenegger's initial divorce petition failed to provide for attorney's fee reimbursement and what other condition of divorce?,spousal support
What actress claimed she also carried on an affair with Schwarzenegger while he was with Shriver?,Brigitte Nielsen
What word describes an aortic valve with two rather than three leaflets?,bicuspid
Schwarzenegger underwent heart valve replacement in what year?,1997
Which of Schwarzenegger's sons was with him when he had a motorcycle accident in 2006?,Patrick
What bone did Schwarzenegger break while on a ski trip in 2006?,right femur
